Q_Exactive,Impact_MS,maXis,Our_samples
5397,47077,103854,26066
5398,47157,103915,26299
5399,47189,103948,26474
5401,47277,104133,26477
5403,47322,105022,26499
5407,47335,105249,26534
5409,47643,105287,26574
5412,47656,105309,26662
5419,47657,105329,26664
5421,47670,105345,26677
5429,47716,105348,26693
5436,47719,105459,26729
5437,47738,105509,26766
5446,47741,105630,26827
5447,47742,105631,26966
5449,47882,105655,26967
5453,47913,105682,26968
5461,47921,105906,27015
5463,47932,106064,27140
5466,47998,106173,27342
5470,48007,106175,27343
5473,48010,106179,27552
5476,48011,106650,27568
5483,48015,106663,27584
5484,48021,106749,27752
5485,48028,107044,27775
5486,48029,107072,27781
5495,48056,107103,27782
5498,48093,107113,27786
5500,48123,107139,27811
5504,48244,107147,27854
5507,48332,107160,27864
5508,48357,107333,27874
5516,48368,107343,28222
5517,48397,107375,28256
5522,48407,108647,28259
5544,48411,108703,28263
5547,48460,108781,28280
5585,48464,108918,28282
5589,48465,109932,28306
5603,48472,109994,28490
5607,48586,110000,28711
5646,48633,110003,28804
5647,48655,110004,28932
5653,48663,110007,28933
5654,48707,110016,29087
5658,48715,110045,29160
5661,48716,110049,29200
5662,48748,110073,29213
5664,48799,110106,29284
5673,48807,110341,29332
5674,48810,110731,29411
5675,48874,110752,29501
5682,48883,110906,29505
5688,48898,111020,29554
5695,48939,111242,29569
5698,48945,111265,29578
5703,48948,111434,29666
5705,48952,111491,29768
5712,48959,111493,29918
5721,48965,111503,30096
5722,49011,111522,30398
5723,49395,111557,30424
5724,49398,111611,30512
5730,49416,111683,30546
5736,49489,111744,30601
5747,49604,111802,30627
5752,49618,111828,30659
5763,49648,111831,30661
5769,49668,111836,30663
5772,49743,111843,30665
5773,49782,111886,30681
5779,49786,111902,30706
5781,49788,112075,30752
5798,49832,112123,30871
5902,49853,112537,31002
5903,49857,112542,31108
5906,49951,112593,31138
5912,49953,112663,31168
5916,49977,112664,31187
5921,49992,112703,31209
5923,50000,112717,31210
5930,50169,113512,31227
5935,50203,113763,31240
5941,50287,113903,31241
5943,50315,113940,31324
5944,50414,113943,31358
5945,50434,113944,31359
5946,50436,113954,31393
5948,50471,114107,31432
5951,50487,114108,31452
5952,50500,114125,31462
5954,50573,114238,31498
5955,50585,114268,31516
5961,50593,114537,31734
5963,50596,114575,31755
5964,50613,114671,31765
5989,50869,114678,31778
5991,50894,114682,31787
5996,50897,114685,31792
5997,50913,114692,31795
5998,50920,114791,31814
6000,50948,114838,31816
6002,50980,114847,31853
6005,51043,114884,31909
6016,51044,114892,31913
6017,51045,114912,31914
6020,51047,114979,31936
6024,51055,114988,31976
6027,51056,114997,32066
6028,51174,115265,32107
6030,51196,115336,32872
6034,51231,115701,32892
6036,51244,116963,32893
6037,51356,116964,32913
6039,51418,116971,32917
6058,51419,116974,32925
6064,51594,116998,32930
6069,51623,117002,32932
6078,51624,117197,32967
6080,51625,117216,32968
6082,51630,117249,32969
6090,51631,117309,32972
6096,51632,117427,32988
6097,51637,117431,33037
6098,51648,117467,33072
6104,51660,117472,33090
6105,51735,117492,33106
6109,51751,117495,33124
6110,51823,117640,33132
6113,51839,117779,33159
6119,51848,117819,33185
6120,51857,117940,33191
6126,51858,117946,33197
6137,51862,118062,33207
